result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_svm,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_svm,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3486238532110092,0.2945998262648336,0.3610045879017444,,,,,,2228,54,6,0.6393612598306605,0.3233857616416531
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_mlp,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_mlp,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3623853211009174,0.28308086701892,0.3742559718974431,,,,,,2228,54,6,0.6841590511697002,0.3570430771500842
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_extra_trees,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3899082568807339,0.2017584429349135,0.3044509799501705,,,,,,2228,54,6,0.6089067101668522,0.3121878264611531
mmr_multiclass/cold_start_pi_cluster_safe/late_fusion/dummy,mmr_multiclass,cold_start_pi_cluster_safe,late_fusion,dummy,target_mmr_multiclass,split_cold_start_pi_cluster_safe,365,0.3013698630136986,0.0771929824561403,0.1395818312905551,,,,,,1735,400,6,0.5,0.1666666666666666
mmr_multiclass/cold_start_pi_cluster_safe/late_fusion/fusion_lr,mmr_multiclass,cold_start_pi_cluster_safe,late_fusion,fusion_lr,target_mmr_multiclass,split_cold_start_pi_cluster_safe,365,0.3589041095890411,0.3154170800914594,0.3538062875053683,,,,,,1735,400,6,0.6620409790248521,0.3103813786369442
mmr_multiclass/cold_start_pi_cluster_safe/late_fusion/fusion_svm,mmr_multiclass,cold_start_pi_cluster_safe,late_fusion,fusion_svm,target_mmr_multiclass,split_cold_start_pi_cluster_safe,365,0.3150684931506849,0.2708287415869386,0.3136174031200591,,,,,,1735,400,6,0.6371866679586743,0.2924899725779463
mmr_multiclass/cold_start_pi_cluster_safe/late_fusion/fusion_mlp,mmr_multiclass,cold_start_pi_cluster_safe,late_fusion,fusion_mlp,target_mmr_multiclass,split_cold_start_pi_cluster_safe,365,0.3808219178082191,0.3077757208611351,0.3555832849879062,,,,,,1735,400,6,0.6941401074919636,0.3154255947827702
mmr_multiclass/cold_start_pi_cluster_safe/late_fusion/fusion_extra_trees,mmr_multiclass,cold_start_pi_cluster_safe,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_cold_start_pi_cluster_safe,365,0.4191780821917808,0.2295431717560205,0.2991296522077993,,,,,,1735,400,6,0.7206219179418722,0.3356009473711495
mmr_multiclass/cold_start_institution_cluster_safe/late_fusion/dummy,mmr_multiclass,cold_start_institution_cluster_safe,late_fusion,dummy,target_mmr_multiclass,split_cold_start_institution_cluster_safe,114,0.3245614035087719,0.0816777041942604,0.1590565818519809,,,,,,2253,133,6,0.5,0.1666666666666666
mmr_multiclass/cold_start_institution_cluster_safe/late_fusion/fusion_lr,mmr_multiclass,cold_start_institution_cluster_safe,late_fusion,fusion_lr,target_mmr_multiclass,split_cold_start_institution_cluster_safe,114,0.2894736842105263,0.2362328884068014,0.2831312213463243,,,,,,2253,133,6,0.6283146367970849,0.2717534200191557
