result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
design_binary/temporal_cluster_safe/text_metadata,design_binary,temporal_cluster_safe,text_metadata,0.782608695652174,0.50826377741356,0.8567227705793219,0.8755583918315252,0.98989898989899,0.7848970251716247,0.8090737240075614,0.9931364389187288,metadata_lr,target_design_binary,split_temporal_cluster_safe,binary,1257.0,346.0,897.0,777.0,768.0,9.0,,,
design_binary/temporal_cluster_safe/text_metadata,design_binary,temporal_cluster_safe,text_metadata,0.919732441471572,0.6037985865724382,0.9394536558847512,0.9575971731448764,0.9866504854368932,0.9302059496567504,0.8099194110038802,0.9929817897110856,metadata_svm,target_design_binary,split_temporal_cluster_safe,binary,1257.0,346.0,897.0,777.0,768.0,9.0,,,
design_binary/temporal_cluster_safe/text_metadata,design_binary,temporal_cluster_safe,text_metadata,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.7232116207342553,0.9906327883070704,metadata_mlp,target_design_binary,split_temporal_cluster_safe,binary,1257.0,346.0,897.0,777.0,768.0,9.0,,,
design_binary/temporal_cluster_safe/text_metadata,design_binary,temporal_cluster_safe,text_metadata,0.9576365663322184,0.6372286079182631,0.9606772112519238,0.97816091954023,0.9826789838337182,0.9736842105263158,0.7823102178887673,0.9893950057199956,metadata_extra_trees,target_design_binary,split_temporal_cluster_safe,binary,1257.0,346.0,897.0,777.0,768.0,9.0,,,
design_binary/temporal_cluster_safe/text_metadata/dummy,design_binary,temporal_cluster_safe,text_metadata,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.5,0.9743589743589745,dummy,,,binary,,,,,,,,,
design_binary/temporal_cluster_safe/text_metadata/metadata_lr,design_binary,temporal_cluster_safe,text_metadata,0.782608695652174,0.50826377741356,0.8567227705793219,0.8755583918315252,0.98989898989899,0.7848970251716247,0.8090737240075614,0.9931364389187288,metadata_lr,,,binary,,,,,,,,,
design_binary/temporal_cluster_safe/text_metadata/metadata_svm,design_binary,temporal_cluster_safe,text_metadata,0.919732441471572,0.6037985865724382,0.9394536558847512,0.9575971731448764,0.9866504854368932,0.9302059496567504,0.8099194110038802,0.9929817897110856,metadata_svm,,,binary,,,,,,,,,
design_binary/temporal_cluster_safe/text_metadata/metadata_mlp,design_binary,temporal_cluster_safe,text_metadata,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.7232116207342553,0.9906327883070704,metadata_mlp,,,binary,,,,,,,,,
design_binary/temporal_cluster_safe/text_metadata/metadata_extra_trees,design_binary,temporal_cluster_safe,text_metadata,0.9576365663322184,0.6372286079182631,0.9606772112519238,0.97816091954023,0.9826789838337182,0.9736842105263158,0.7823102178887673,0.9893950057199956,metadata_extra_trees,,,binary,,,,,,,,,
design_binary/cross_program_cluster_safe/text_metadata,design_binary,cross_program_cluster_safe,text_metadata,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.8247978436657682,0.7018348623853211,1.0,0.5,0.7018348623853211,dummy,target_design_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
design_binary/cross_program_cluster_safe/text_metadata,design_binary,cross_program_cluster_safe,text_metadata,0.6055045871559633,0.5797166427546628,0.6217414410382636,0.6838235294117647,0.7815126050420168,0.6078431372549019,0.651131221719457,0.8231915458693078,metadata_lr,target_design_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
